,Country,Year,Sex,Age,Cases
3357,SL,2008,Male,0-4,3.0
3507,SZ,2007,Male,0-4,2.0
4143,AE,2007,Male,5-14,2.0
5502,GR,2007,Male,5-14,1.0
6431,MH,2008,Male,5-14,1.0
7467,SL,2008,Male,5-14,43.0
7617,SZ,2007,Male,5-14,29.0
8085,VU,2008,Male,5-14,1.0
8231,AD,2006,Male,15-24,1.0
8250,AE,2002,Male,15-24,2.0
8251,AE,2003,Male,15-24,10.0
8252,AE,2004,Male,15-24,7.0
8253,AE,2007,Male,15-24,5.0
8254,AE,2008,Male,15-24,6.0
8267,AF,2001,Male,15-24,379.0
8268,AF,2002,Male,15-24,476.0
8269,AF,2005,Male,15-24,606.0
8270,AF,2007,Male,15-24,856.0
8271,AF,2008,Male,15-24,941.0
8329,AL,1997,Male,15-24,23.0
8330,AL,1998,Male,15-24,17.0
8331,AL,1999,Male,15-24,13.0
8332,AL,2000,Male,15-24,19.0
8333,AL,2001,Male,15-24,13.0
8334,AL,2002,Male,15-24,21.0
8335,AL,2003,Male,15-24,28.0
8336,AL,2004,Male,15-24,12.0
8337,AL,2005,Male,15-24,26.0
8352,AM,1996,Male,15-24,53.0
8353,AM,1997,Male,15-24,85.0
8354,AM,1998,Male,15-24,159.0
8355,AM,1999,Male,15-24,151.0
8356,AM,2000,Male,15-24,152.0
8357,AM,2001,Male,15-24,154.0
8358,AM,2002,Male,15-24,95.0
8359,AM,2003,Male,15-24,120.0
8376,AO,1996,Male,15-24,1036.0
8377,AO,2003,Male,15-24,2355.0
8378,AO,2005,Male,15-24,2549.0
8379,AO,2006,Male,15-24,2632.0
8380,AO,2007,Male,15-24,2824.0
8381,AO,2008,Male,15-24,2970.0
8395,AR,1996,Male,15-24,611.0
8434,AT,1999,Male,15-24,13.0
8452,AU,2000,Male,15-24,16.0
8453,AU,2001,Male,15-24,23.0
8454,AU,2003,Male,15-24,14.0
8468,AZ,1999,Male,15-24,96.0
8469,AZ,2002,Male,15-24,290.0
8470,AZ,2003,Male,15-24,212.0
8471,AZ,2004,Male,15-24,248.0
8487,BA,1995,Male,15-24,15.0
8488,BA,1998,Male,15-24,28.0
8489,BA,2002,Male,15-24,36.0
8490,BA,2003,Male,15-24,32.0
8491,BA,2006,Male,15-24,40.0
8507,BB,2001,Male,15-24,1.0
8508,BB,2002,Male,15-24,2.0
8527,BD,2003,Male,15-24,5166.0
8528,BD,2005,Male,15-24,8170.0
8529,BD,2006,Male,15-24,9937.0
8530,BD,2007,Male,15-24,10210.0
8531,BD,2008,Male,15-24,10618.0
