,iso2,year,variable,value
0,AD,1989,new_sp_m04,0.0
1,AD,1990,new_sp_m04,0.0
2,AD,1991,new_sp_m04,0.0
3,AD,1992,new_sp_m04,0.0
4,AD,1996,new_sp_m04,0.0
5,AD,1998,new_sp_m04,0.0
6,AD,2000,new_sp_m04,0.0
7,AD,2001,new_sp_m04,0.0
8,AD,2002,new_sp_m04,0.0
9,AD,2004,new_sp_m04,0.0
10,AD,2005,new_sp_m04,0.0
11,AD,2006,new_sp_m04,0.0
12,AD,2007,new_sp_m04,0.0
13,AD,2008,new_sp_m04,0.0
14,AE,1980,new_sp_m04,0.0
15,AE,1981,new_sp_m04,0.0
16,AE,1982,new_sp_m04,0.0
17,AE,1983,new_sp_m04,0.0
18,AE,1984,new_sp_m04,0.0
19,AE,1985,new_sp_m04,0.0
20,AE,1986,new_sp_m04,0.0
21,AE,1987,new_sp_m04,0.0
22,AE,1988,new_sp_m04,0.0
23,AE,1989,new_sp_m04,0.0
24,AE,1990,new_sp_m04,0.0
25,AE,1991,new_sp_m04,0.0
26,AE,1992,new_sp_m04,0.0
27,AE,1994,new_sp_m04,0.0
28,AE,1996,new_sp_m04,0.0
29,AE,1998,new_sp_m04,0.0
30,AE,2002,new_sp_m04,0.0
31,AE,2003,new_sp_m04,0.0
32,AE,2004,new_sp_m04,0.0
33,AE,2007,new_sp_m04,0.0
34,AE,2008,new_sp_m04,0.0
35,AF,1980,new_sp_m04,0.0
36,AF,1981,new_sp_m04,0.0
37,AF,1982,new_sp_m04,0.0
38,AF,1983,new_sp_m04,0.0
39,AF,1984,new_sp_m04,0.0
40,AF,1985,new_sp_m04,0.0
41,AF,1986,new_sp_m04,0.0
42,AF,1987,new_sp_m04,0.0
43,AF,1988,new_sp_m04,0.0
44,AF,1989,new_sp_m04,0.0
45,AF,1990,new_sp_m04,0.0
46,AF,1991,new_sp_m04,0.0
47,AF,2001,new_sp_m04,0.0
48,AF,2002,new_sp_m04,0.0
49,AF,2005,new_sp_m04,0.0
50,AF,2007,new_sp_m04,0.0
51,AF,2008,new_sp_m04,0.0
52,AG,1980,new_sp_m04,0.0
53,AG,1981,new_sp_m04,0.0
54,AG,1982,new_sp_m04,0.0
55,AG,1983,new_sp_m04,0.0
56,AG,1984,new_sp_m04,0.0
57,AG,1985,new_sp_m04,0.0
58,AG,1986,new_sp_m04,0.0
59,AG,1987,new_sp_m04,0.0
60,AG,1988,new_sp_m04,0.0
61,AG,1989,new_sp_m04,0.0
62,AG,1990,new_sp_m04,0.0
63,AG,1991,new_sp_m04,0.0
64,AG,1992,new_sp_m04,0.0
65,AG,1995,new_sp_m04,0.0
66,AG,1996,new_sp_m04,0.0
67,AG,1997,new_sp_m04,0.0
68,AG,1998,new_sp_m04,0.0
69,AG,2001,new_sp_m04,0.0
70,AG,2003,new_sp_m04,0.0
71,AG,2004,new_sp_m04,0.0
72,AG,2005,new_sp_m04,0.0
73,AG,2007,new_sp_m04,0.0
74,AG,2008,new_sp_m04,0.0
75,AI,1980,new_sp_m04,0.0
76,AI,1981,new_sp_m04,0.0
77,AI,1982,new_sp_m04,0.0
78,AI,1983,new_sp_m04,0.0
79,AI,1984,new_sp_m04,0.0
80,AI,1985,new_sp_m04,0.0
81,AI,1986,new_sp_m04,0.0
82,AI,1987,new_sp_m04,0.0
83,AI,1988,new_sp_m04,0.0
84,AI,1989,new_sp_m04,0.0
85,AI,1990,new_sp_m04,0.0
86,AI,1991,new_sp_m04,0.0
87,AI,1992,new_sp_m04,0.0
88,AI,1995,new_sp_m04,0.0
89,AI,1997,new_sp_m04,0.0
90,AI,2001,new_sp_m04,0.0
91,AI,2002,new_sp_m04,0.0
92,AI,2004,new_sp_m04,0.0
93,AI,2006,new_sp_m04,0.0
94,AI,2007,new_sp_m04,0.0
95,AI,2008,new_sp_m04,0.0
96,AL,1980,new_sp_m04,0.0
97,AL,1981,new_sp_m04,0.0
98,AL,1982,new_sp_m04,0.0
99,AL,1983,new_sp_m04,0.0
100,AL,1984,new_sp_m04,0.0
101,AL,1985,new_sp_m04,0.0
102,AL,1986,new_sp_m04,0.0
103,AL,1987,new_sp_m04,0.0
104,AL,1988,new_sp_m04,0.0
105,AL,1989,new_sp_m04,0.0
106,AL,1990,new_sp_m04,0.0
107,AL,1991,new_sp_m04,0.0
108,AL,1995,new_sp_m04,0.0
109,AL,1997,new_sp_m04,0.0
110,AL,1998,new_sp_m04,0.0
111,AL,1999,new_sp_m04,0.0
112,AL,2000,new_sp_m04,0.0
113,AL,2001,new_sp_m04,0.0
114,AL,2002,new_sp_m04,0.0
115,AL,2003,new_sp_m04,0.0
116,AL,2004,new_sp_m04,0.0
117,AL,2005,new_sp_m04,0.0
118,AM,1980,new_sp_m04,0.0
119,AM,1981,new_sp_m04,0.0
120,AM,1982,new_sp_m04,0.0
121,AM,1983,new_sp_m04,0.0
122,AM,1984,new_sp_m04,0.0
123,AM,1985,new_sp_m04,0.0
124,AM,1986,new_sp_m04,0.0
125,AM,1987,new_sp_m04,0.0
126,AM,1988,new_sp_m04,0.0
127,AM,1989,new_sp_m04,0.0
128,AM,1990,new_sp_m04,0.0
129,AM,1991,new_sp_m04,0.0
130,AM,1992,new_sp_m04,0.0
131,AM,1993,new_sp_m04,0.0
132,AM,1996,new_sp_m04,0.0
133,AM,1997,new_sp_m04,0.0
134,AM,1998,new_sp_m04,0.0
135,AM,1999,new_sp_m04,0.0
136,AM,2000,new_sp_m04,0.0
137,AM,2001,new_sp_m04,0.0
138,AM,2002,new_sp_m04,0.0
139,AM,2003,new_sp_m04,0.0
140,AN,2005,new_sp_m04,0.0
141,AN,2007,new_sp_m04,0.0
142,AN,2008,new_sp_m04,0.0
143,AO,1980,new_sp_m04,0.0
144,AO,1981,new_sp_m04,0.0
145,AO,1982,new_sp_m04,0.0
146,AO,1983,new_sp_m04,0.0
147,AO,1984,new_sp_m04,0.0
148,AO,1985,new_sp_m04,0.0
149,AO,1986,new_sp_m04,0.0
150,AO,1987,new_sp_m04,0.0
151,AO,1988,new_sp_m04,0.0
152,AO,1989,new_sp_m04,0.0
153,AO,1990,new_sp_m04,0.0
154,AO,1991,new_sp_m04,0.0
155,AO,1992,new_sp_m04,0.0
156,AO,1996,new_sp_m04,0.0
157,AO,2003,new_sp_m04,0.0
158,AO,2005,new_sp_m04,0.0
159,AO,2006,new_sp_m04,0.0
160,AO,2007,new_sp_m04,0.0
161,AO,2008,new_sp_m04,0.0
162,AR,1980,new_sp_m04,0.0
163,AR,1981,new_sp_m04,0.0
164,AR,1982,new_sp_m04,0.0
165,AR,1983,new_sp_m04,0.0
166,AR,1984,new_sp_m04,0.0
167,AR,1985,new_sp_m04,0.0
168,AR,1986,new_sp_m04,0.0
169,AR,1987,new_sp_m04,0.0
170,AR,1988,new_sp_m04,0.0
171,AR,1989,new_sp_m04,0.0
172,AR,1990,new_sp_m04,0.0
173,AR,1991,new_sp_m04,0.0
174,AR,1992,new_sp_m04,0.0
175,AR,1996,new_sp_m04,0.0
176,AS,1980,new_sp_m04,0.0
177,AS,1981,new_sp_m04,0.0
178,AS,1982,new_sp_m04,0.0
179,AS,1983,new_sp_m04,0.0
180,AS,1984,new_sp_m04,0.0
181,AS,1985,new_sp_m04,0.0
182,AS,1986,new_sp_m04,0.0
183,AS,1987,new_sp_m04,0.0
184,AS,1988,new_sp_m04,0.0
185,AS,1989,new_sp_m04,0.0
186,AS,1990,new_sp_m04,0.0
187,AS,1991,new_sp_m04,0.0
